acromyrmex_echinatior_NW_011626403.1:1-9952_1/ORF:870-1244	seq1
acromyrmex_echinatior_NW_011626403.1:1-9952_2/ORF:1157-1507	seq2
acromyrmex_echinatior_NW_011626403.1:1-9952_3/ORF:3307-3624	seq3
acromyrmex_echinatior_NW_011626403.1:1-9952_4/ORF:5547-5882	seq4
acromyrmex_echinatior_NW_011626403.1:1-9952_5/ORF:7675-8070	seq5
acromyrmex_echinatior_NW_011626403.1:1-9952_6/ORF:8140-8508	seq6
acromyrmex_echinatior_NW_011626403.1:1-9952_7/ORF:4007-3636/REVERSE	seq7
acromyrmex_echinatior_NW_011627030.1:469725-490867_1/ORF:89-418	seq8
acromyrmex_echinatior_NW_011627030.1:469725-490867_2/ORF:427-783	seq9
acromyrmex_echinatior_NW_011627030.1:469725-490867_3/ORF:1510-1857	seq10
acromyrmex_echinatior_NW_011627030.1:469725-490867_4/ORF:1814-2131	seq11
acromyrmex_echinatior_NW_011627030.1:469725-490867_5/ORF:5399-5902	seq12
acromyrmex_echinatior_NW_011627030.1:469725-490867_6/ORF:6073-6372	seq13
acromyrmex_echinatior_NW_011627030.1:469725-490867_7/ORF:9848-10558	seq14
acromyrmex_echinatior_NW_011627030.1:469725-490867_8/ORF:10688-11008	seq15
acromyrmex_echinatior_NW_011627030.1:469725-490867_9/ORF:11063-11371	seq16
acromyrmex_echinatior_NW_011627030.1:469725-490867_10/ORF:11220-11756	seq17
acromyrmex_echinatior_NW_011627030.1:469725-490867_11/ORF:19027-19350	seq18
acromyrmex_echinatior_NW_011627030.1:469725-490867_12/ORF:17246-16947/REVERSE	seq19
acromyrmex_echinatior_NW_011627030.1:469725-490867_13/ORF:16204-15899/REVERSE	seq20
acromyrmex_echinatior_NW_011627030.1:469725-490867_14/ORF:15688-15206/REVERSE	seq21
acromyrmex_echinatior_NW_011627030.1:469725-490867_15/ORF:14616-14158/REVERSE	seq22
acromyrmex_echinatior_NW_011627053.1:53271-74203_1/ORF:4333-4719	seq23
acromyrmex_echinatior_NW_011627053.1:53271-74203_2/ORF:4818-5213	seq24
acromyrmex_echinatior_NW_011627053.1:53271-74203_3/ORF:5924-6307	seq25
acromyrmex_echinatior_NW_011627053.1:53271-74203_4/ORF:7259-7645	seq26
acromyrmex_echinatior_NW_011627053.1:53271-74203_5/ORF:9114-9422	seq27
acromyrmex_echinatior_NW_011627053.1:53271-74203_6/ORF:11501-11890	seq28
acromyrmex_echinatior_NW_011627053.1:53271-74203_7/ORF:11865-12266	seq29
acromyrmex_echinatior_NW_011627053.1:53271-74203_8/ORF:13312-13698	seq30
acromyrmex_echinatior_NW_011627053.1:53271-74203_9/ORF:13922-14365	seq31
acromyrmex_echinatior_NW_011627053.1:53271-74203_10/ORF:14965-15630	seq32
acromyrmex_echinatior_NW_011627053.1:53271-74203_11/ORF:16743-17249	seq33
acromyrmex_echinatior_NW_011627053.1:53271-74203_12/ORF:17524-20931	seq34
acromyrmex_echinatior_NW_011627053.1:53271-74203_13/ORF:17345-16716/REVERSE	seq35
acromyrmex_echinatior_NW_011627053.1:53271-74203_14/ORF:17334-16621/REVERSE	seq36
acromyrmex_echinatior_NW_011627053.1:53271-74203_15/ORF:14374-14072/REVERSE	seq37
acromyrmex_echinatior_NW_011627053.1:53271-74203_16/ORF:14423-14049/REVERSE	seq38
acromyrmex_echinatior_NW_011627053.1:53271-74203_17/ORF:12673-12284/REVERSE	seq39
acromyrmex_echinatior_NW_011627112.1:209919-231037_1/ORF:6247-6555	seq40
acromyrmex_echinatior_NW_011627112.1:209919-231037_2/ORF:8161-8523	seq41
acromyrmex_echinatior_NW_011627112.1:209919-231037_3/ORF:8366-8713	seq42
acromyrmex_echinatior_NW_011627112.1:209919-231037_4/ORF:10969-11277	seq43
acromyrmex_echinatior_NW_011627112.1:209919-231037_5/ORF:11373-11708	seq44
acromyrmex_echinatior_NW_011627112.1:209919-231037_6/ORF:12543-12866	seq45
acromyrmex_echinatior_NW_011627112.1:209919-231037_7/ORF:16084-16593	seq46
acromyrmex_echinatior_NW_011627112.1:209919-231037_9/ORF:17611-17922	seq47
acromyrmex_echinatior_NW_011627112.1:209919-231037_10/ORF:19025-19552	seq48
acromyrmex_echinatior_NW_011627112.1:209919-231037_11/ORF:19079-18507/REVERSE	seq49
acromyrmex_echinatior_NW_011627112.1:209919-231037_12/ORF:17954-17628/REVERSE	seq50
acromyrmex_echinatior_NW_011627112.1:209919-231037_13/ORF:17920-17564/REVERSE	seq51
acromyrmex_echinatior_NW_011627112.1:209919-231037_14/ORF:17847-17512/REVERSE	seq52
acromyrmex_echinatior_NW_011627112.1:209919-231037_15/ORF:16197-14995/REVERSE	seq53
acromyrmex_echinatior_NW_011627112.1:209919-231037_16/ORF:14941-9185/REVERSE	seq54
acromyrmex_echinatior_NW_011627112.1:209919-231037_17/ORF:4303-3845/REVERSE	seq55
acromyrmex_echinatior_NW_011627112.1:209919-231037_18/ORF:3134-2685/REVERSE	seq56
acromyrmex_echinatior_NW_011627112.1:209919-231037_19/ORF:2320-2015/REVERSE	seq57
acromyrmex_echinatior_NW_011627123.1:3723-24682_1/ORF:225-734	seq58
acromyrmex_echinatior_NW_011627123.1:3723-24682_2/ORF:1913-2218	seq59
acromyrmex_echinatior_NW_011627123.1:3723-24682_3/ORF:2740-3336	seq60
acromyrmex_echinatior_NW_011627123.1:3723-24682_4/ORF:3428-3814	seq61
acromyrmex_echinatior_NW_011627221.1:23513-44472_1/ORF:1463-1801	seq62
acromyrmex_echinatior_NW_011627221.1:23513-44472_2/ORF:1840-2469	seq63
acromyrmex_echinatior_NW_011627221.1:23513-44472_3/ORF:2477-3100	seq64
acromyrmex_echinatior_NW_011627221.1:23513-44472_4/ORF:2836-3348	seq65
acromyrmex_echinatior_NW_011627221.1:23513-44472_5/ORF:3352-5103	seq66
