QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,OXU16632.1,40.921,391,229,1,8,396,6,396,3.18e-108,343,63.43
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,EZA59596.1,36.145,249,159,0,148,396,1,249,3.88e-50,186,59.44
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,CAB0040669.1,35.484,341,217,2,42,379,5,345,6.12e-69,248,55.72
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,CAB0032490.1,35.092,379,242,3,5,379,557,935,9.28e-80,277,55.94
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,KOC58623.1,34.810,316,201,4,85,396,1,315,4.55e-54,199,54.75
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,KOC58693.1,34.646,381,244,4,20,396,17,396,1.90e-68,239,55.12
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,KOC58667.1,34.555,382,245,4,19,396,16,396,5.07e-71,241,55.24
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,KOC58953.1,34.264,394,255,3,6,396,3,395,3.80e-73,251,54.06
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,EZA46988.1,34.182,275,181,0,122,396,272,546,5.35e-53,196,56.00
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,XP_035742648.1,34.127,252,163,2,147,396,2,252,7.60e-45,172,54.76
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,KYN00131.1,34.103,390,255,1,9,396,4,393,1.50e-74,255,53.59
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,XP_032681742.1,34.103,390,253,3,10,396,6,394,6.92e-74,256,55.90
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,KYN22230.1,33.538,325,212,3,75,396,14,337,2.09e-60,216,53.85
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,XP_036144489.1,33.512,373,245,2,16,385,15,387,2.78e-72,241,54.16
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,KYM98400.1,33.503,394,255,4,9,396,4,396,3.66e-72,248,54.31
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,XP_015120589.1,33.499,403,252,7,1,396,1,394,2.43e-58,208,49.63
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,XP_015121222.1,33.499,403,252,7,1,396,1,394,1.44e-57,207,49.63
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,KMQ92400.1,33.463,257,171,0,140,396,1,257,5.87e-47,178,54.47
QQP18730.2_2/glycoprotein/Soybean_thrips_chu-like_virus_3,KYM97148.1,33.249,394,256,4,9,396,1,393,6.22e-74,248,54.57
